county,pass_1_observations,pass_2_observations,pass_3_observations,candidate_entities,promotion_eligible_entities,status,coverage_note
Conecuh,1,1,0,2,2,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Coosa,5,0,4,8,4,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Covington,12,0,3,12,10,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Crenshaw,4,2,1,6,5,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Cullman,43,8,6,39,31,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Dale,10,1,4,13,10,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Dallas,7,3,0,7,7,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
DeKalb,13,1,5,17,11,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Elmore,19,1,4,22,18,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Escambia,7,2,1,8,6,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Etowah,13,2,1,13,9,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Fayette,1,5,1,7,6,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Franklin,9,2,2,9,7,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Geneva,27,3,3,24,14,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Greene,3,1,1,5,2,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Hale,6,0,0,5,5,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Henry,1,3,2,5,3,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Houston,30,1,6,28,18,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Jackson,4,1,2,7,5,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Jefferson,19,2,6,25,20,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Lamar,2,0,0,1,1,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Lauderdale,11,0,3,10,8,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Lawrence,11,1,1,8,8,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Lee,15,1,4,18,13,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Limestone,13,3,1,15,14,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Lowndes,9,3,0,9,7,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Macon,13,2,2,13,11,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Madison,26,7,9,30,22,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Marengo,5,1,1,7,4,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Marion,7,0,0,7,4,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Marshall,29,4,4,29,23,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Mobile,28,3,8,28,21,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Monroe,5,2,1,7,7,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Montgomery,19,3,2,18,14,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Morgan,16,3,8,22,12,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Perry,5,1,1,5,3,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Pickens,6,1,0,7,7,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Pike,12,3,0,15,14,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Randolph,5,0,0,4,4,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Russell,3,0,1,4,3,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Shelby,12,0,5,15,11,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
St. Clair,18,3,4,21,14,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Sumter,0,0,2,2,0,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Talladega,15,1,4,15,13,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Tallapoosa,13,0,4,12,9,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Tuscaloosa,13,2,3,18,11,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Walker,5,1,0,6,4,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Washington,1,0,0,1,1,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Wilcox,3,0,0,3,1,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Winston,5,0,1,6,5,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
