farm_name,state,city,county,county_source,address,postal_code,products,phone,email,website_url,facebook_url,instagram_url,source_names,source_urls,source_modified_date,retrieved_date,source_passes,current_release_match,review_status,notes
Amber's Blueberry Farm,MS,Waynesboro,Wayne,PickYourOwn listing,,,Blueberries |,601-735-4840,jerryangiehutto42@yahoo.com,,,,PickYourOwn — Southeast,https://www.pickyourown.org/MSse.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
Amorphous Gardens,MS,,,,506 Pat Luckett Rd,,"We sell natural no-spray seasonal vegetables & herbs. Brassicas, Alliums, Tomatoes, Herbs, Potatoes, Sweet Potatoes, Beans, Carrots, Radishes, Zucchini, Cucumbers, Peppers, Eggplant,",(601) 454-9713,AmorphousGardens@hotmail.com,,,,MDAC Mississippi Farmers Market vendors,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=1,,2026-07-15,2,,New candidate — needs independent verification,
Angel Wings Greenhouse,MS,Byhalia,Marshall,PickYourOwn listing,,,"peas, |",901-412-9218,byhaliagreenhouse@yahoo.com,,,,PickYourOwn — North,https://www.pickyourown.org/MSnorth.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
Arrowhead Hill Farm,MS,Lucedale,George,U.S. Census geocoder from public source address,"211 Mary Cochran Rd., Lucedale , Mississippi 39452",39452,Boer goats,(228) 990-5090,lindakowen@yahoo.com,,https://www.facebook.com/ArrowheadHillFarmBoerGoats,,Genuine MS — Raised,https://genuinems.com/directory/arrowhead-hill-farm/,2023-12-18,2026-07-15,1,,New candidate — needs independent verification,
Artillery Ridge Growers,MS,,,,16355 HWY 18 WEST,,"Herbs and Vegetable Plants, Roses, Hosta, Danilies, Iris, Assorted Trees and Shrubs, and other assorted perannials",,MHOLC@BELLSOUTH.NET,,,,MDAC Mississippi Farmers Market vendors,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=50,,2026-07-15,2,,New candidate — needs independent verification,
B and L Farms,MS,Heidelberg,Jasper,U.S. Census geocoder from public source address,"158 CR 31, Heidelberg, MS 39439",39439,Registered Angus Bulls; Registered Angus Cows; Registered Angus Heifers,(601) 470-9637,brad@bandlfarms.com,,,http://instagram.com/B_and_L_Farms,Genuine MS — Raised,https://genuinems.com/directory/b-and-l-farms/,2025-12-30,2026-07-15,1,,New candidate — recent authoritative profile,
B & W Orchard,MS,Meridian,Clarke,PickYourOwn listing,,,"blueberries, figs, Muscadines, grapes, and prepicked produce, restrooms |",601-659-7357,giftmakersplus@bellsouth.net,,,,PickYourOwn — East Central,https://www.pickyourown.org/MSeast.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
Bacot Farms,MS,Tylertown,Walthall,U.S. Census geocoder from public source address,"130 Bacot Road, Tylertown , Mississippi 39667",39667,Grass fed and Grass Finished Beef,(601) 876-1367,tyler_bacot@yahoo.com,,https://www.facebook.com/share/1Bmj92oPzH/?mibextid=wwXIfr,http://instagram.com/Bacot.farms,Genuine MS — Raised,https://genuinems.com/directory/bacot-farms/,2025-10-28,2026-07-15,1,,New candidate — recent authoritative profile,
Bailey Barn Farms & Soap Co.,MS,Canton,Madison,U.S. Census geocoder from public source address,"478 Ratliff Ferry Road, Canton, MS 39046",39046,Goat Milk Soaps; Goat Milk Lotions; Goat Milk Lip Balms; Goat Milk Bath Bombs; Goat Milk Body Butter,(601) 559-5929,Baileybarnfarmssoapco@gmail.com,https://www.baileybarnfarmsoapco.com,https://www.facebook.com/BBaileyfarms?mibextid=LQQJ4d,http://instagram.com/@Baileybarnfarmsoapco,Genuine MS — Raised,https://genuinems.com/directory/bailey-barn-farms-soap-co/,2025-01-27,2026-07-15,1,,New candidate — recent authoritative profile,
Banks Farms,MS,Brandon,Rankin,U.S. Census geocoder from public source address,"3690 Highway 80 East, Brandon, Mississippi 39042",39042,Peaches,(601) 927-7104,burkhalterred@aol.com,,https://www.facebook.com/banksfarms/?ref=bookmarks,,Genuine MS — Grown,https://genuinems.com/directory/banks-farms/,2025-06-12,2026-07-15,1,,New candidate — recent authoritative profile,
Banks Rice,MS,Robinsonville,Tunica,U.S. Census geocoder from public source address,"2765 Banks Road , Robinsonville, MS 38664",38664,Long grain white rice; White rice grits; White rice flour,(901) 485-0074,banksriceco@gmail.com,https://www.banksrice.com,https://www.facebook.com/profile.php?id=61574989941552,,Genuine MS — Grown,https://genuinems.com/directory/banks-rice/,2026-04-28,2026-07-15,1,Banks Rice,Existing release row — enrich/verify,
Bass Pecan Company,MS,Raymond,Hinds,U.S. Census geocoder from public source address,"19470 Highway 18, Raymond, Mississippi 39154",19470,Pecans; Shelled Pecans; InShell Pecans; Farm Shelled Pecans; Pecan Trees; Honey Locust Trees; Fruit Trees,(601) 857-6177,cservice@basspecan.com,https://basspecantrees.com/,https://www.facebook.com/basspecantrees,,Genuine MS — Grown,https://genuinems.com/directory/bass-pecan-company/,2026-07-01,2026-07-15,1,Bass Pecan Company,Existing release row — enrich/verify,
Beason Family Farm,MS,Philedelphia,Neshoba,U.S. Census geocoder from public source address,"10141 Road 1343, Philedelphia, MS 39350",10141,"Whole Milk; Chocolate Milk; Butter Milk; Hay; Ice Cream: Vanilla, Chocolate, Strawberry, and Lemon",(601) 562-0817,mbeason3@aol.com,https://www.beasonfamilyfarm.com/,https://www.facebook.com/BeasonFamilyFarm,,Genuine MS — Raised,https://genuinems.com/directory/beason-family-farm/,2025-05-30,2026-07-15,1,Beason Family Farm,Existing release row — enrich/verify,
Beaver-Dam Fresh Farms Inc,MS,Indianola,Sunflower,PickYourOwn listing,,,"beans, broad beans, cucumbers, peas, tomatoes |",662-887-4643,bodiddle@adelphia.net,,,,PickYourOwn — North,https://www.pickyourown.org/MSnorth.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
Becca’s Blooms Floral Flower Preservation,MS,Morton,,,"3840 SCR 503N, Morton, MS 39117",39117,,769-257-2283,beccasbloomsfloral@gmail.com,https://beccasbloomsfloralflowerpreservation.com/,https://www.facebook.com/share/1B1vgruYDE/?mibextid=wwXIfr,,Genuine MS — Grown,https://genuinems.com/directory/beccas-blooms-floral-flower-preservation/,2026-05-21,2026-07-15,1,,New candidate — recent authoritative profile,
Becci’s Barnyard,MS,Brooksville,Noxubee,U.S. Census geocoder from public source address,"1336 Dora Road, Brooksville, Mississippi 39773",39773,"100% Grass-Fed, Grain Finished Beef; 1/4, 1/2 and Full Shares of Beef; Lean Ground Beef; Ribeyes; T-Bones; NY Strips; Filets; Roasts; Brisket; Flanks & Flat Iron Steaks; Beef Tips",(662) 272-5030,beccisby@gmail.com,,https://www.facebook.com/profile.php?id=100083345925133,,Genuine MS — Raised,https://genuinems.com/directory/beccis-barnyard/,2025-05-27,2026-07-15,1,,New candidate — recent authoritative profile,
"Bee’s Best Honey, LLC",MS,Starkville,Oktibbeha,U.S. Census geocoder from public source address,"1406 Louiseville St, Starkville, MS 39759",39759,Honey; Nucs; Beeswax; Beeswax Candles; Beginner Beekeeper Workshops,(662) 361-8733,msbeesbesthoney@gmail.com,,https://www.facebook.com/doug.stone.9638718,,Genuine MS — Raised,https://genuinems.com/directory/bees-best-honey-llc/,2020-11-12,2026-07-15,1,,New candidate — needs independent verification,
BeeTree Meadows,MS,,,,,,Other,,beetreemeadows@gmail.com,,,,MDAC Mississippi Farmers Market vendors,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=275,,2026-07-15,2,,New candidate — needs independent verification,
Big Creek Farm LLC,MS,Louin,,,"12801 SCR 504, Louin, MS 39338",12801,Goats; Chickens; Goat Milk Soap; Goat Milk Lotion; Goat Milk; Cheese,601-720-8929,bigcreekfarmms@gmail.com,,https://www.facebook.com/profile.php?id=100083538756071,,Genuine MS — Raised,https://genuinems.com/directory/big-creek-farm-llc/,2026-04-10,2026-07-15,1,,New candidate — recent authoritative profile,
Black Creek Farm LLC,MS,Picayune,Pearl River,U.S. Census geocoder from public source address,"4421B HWY 43N , Picayune , Mississippi 39466",39466,Prepackaged Beef; Prepackaged Pork; Whole chicken; Pastured Eggs,(601) 916-1610,blackcreekfarm1@outlook.com,,https://www.facebook.com/juneaufamilyfarm/,,Genuine MS — Raised,https://genuinems.com/directory/black-creek-farm-llc/,2023-02-15,2026-07-15,1,Black Creek Farm,Possible existing alias — identity review,
Black Jack Ranch,MS,Wiggins,Stone,U.S. Census geocoder from public source address,"853 Oil Well Road, Wiggins , MS 39577",39577,"Wagyu Beef; Angus Beef; Tallows, Butter and Broth; Fresh Baked Cookies and Breads; Sourdough Bread Bouls, Loafs and Bagels; Puddings and Cheesecakes; Seasonings, Sauces and Dips; Gifts and Apparel; Soaps, Whipped Tallow Lotions and Lip Balms",(601) 770-6601,kim@blackjackranchms.com,https://www.blackjackranchms.com,https://www.facebook.com/BlackJackWagyu/,http://instagram.com/blackjackwagyu,Genuine MS — Raised,https://genuinems.com/directory/black-jack-ranch/,2026-04-22,2026-07-15,1,Black Jack Ranch,Existing release row — enrich/verify,
Blue Barn Farms,MS,Lucedale,George,PickYourOwn listing,,,"No pesticides used , blueberries, concessions or refreshment stand, restrooms |",601-508-6825,kmlgrl06@gmail.com,,,,PickYourOwn — Southeast,https://www.pickyourown.org/MSse.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
Blue Courage Farms,MS,Brooksville,,,"4208 Lynn Creek Rd., Brooksville, MS 39739",39739,Shiitake Mushrooms; Golden Oyster Mushrooms; Pink Oyster Mushrooms; Piopinni Mushrooms; Reishi Mushrooms; Lion's Mane Mushrooms; Vegetables; Tomatoes; Okra; Peppers; Beef; Honey,(601) 383-3785,pierce@bluecouragefarms.com,https://www.bluecouragefarms.com,https://www.facebook.com/bluecouragefarms/,https://www.instagram.com/bluecouragefarms/?igsh=MTZpZWN1dXlmbTVybg%3D%3D&utm_source=qr,Genuine MS — Grown,https://genuinems.com/directory/blue-courage-farms/,2024-04-17,2026-07-15,1,Blue Courage Farms,Existing release row — enrich/verify,
Blue Sky Farms MS,MS,Richland,Rankin,U.S. Census geocoder from public source address,"44a Old Hwy 49 S, Richland, MS 39218",39218,Meat,(601) 353-7100,blueskyfarmsms@gmail.com,https://www.blueskyfarms.org,https://www.facebook.com/Blue-Sky-Farmsorg-101108618144039/,http://instagram.com/hugh.dt,Genuine MS — Raised,https://genuinems.com/directory/blue-sky-farms-ms/,2024-05-16,2026-07-15,1,,New candidate — needs independent verification,
Blue Tara Organic PYO Blueberry Farm,MS,Poplarville,Pearl River,PickYourOwn listing,,,"Certified Organic , blueberries, U-pick and already picked, restrooms, picnic area |",601-795-0034,info@pickaberry.com,,,,PickYourOwn — Southeast,https://www.pickyourown.org/MSse.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
Blueberry Bluephoria at Toft Farms,MS,Carriere,Hancock,PickYourOwn listing,,,"beans, blueberries, cucumbers, flowers, herbs or spices, melons, peppers, summer squash, Other fruit or veg, Honey from hives on the farm, Fresh eggs, restrooms |",985-788-8254,sales@toftfarms.com,,,,PickYourOwn — Southeast,https://www.pickyourown.org/MSse.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
Blueberry Heaven,MS,Vancleave,Jackson,PickYourOwn listing,,,"blueberries, No pesticides are used |",(228) 826-5321,info@blueberryheaven.net,,,,PickYourOwn — Southeast,https://www.pickyourown.org/MSse.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
Blueberry Hill Canton,MS,,Madison,PickYourOwn listing,,,"blueberries, |",601-201-0763,,,,,PickYourOwn — Jackson/West Central,https://www.pickyourown.org/MSjackson.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
Blueberry Hill Farm Florence,MS,Florence,Rankin,PickYourOwn listing,,,"No pesticides are used , blueberries, Fresh eggs, U-pick and already picked, farm animals |",(601) 214-1947,martinseverything2017@gmail.com,,,,PickYourOwn — Jackson/West Central,https://www.pickyourown.org/MSjackson.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
Blueberry Pines Farm,MS,McLain,Greene,U.S. Census geocoder from public source address,"12101 Highway 57, McLain, MS 39456",12101,Eggs; Bread; Seasonal Vegetables; Honey,(601) 394-7368,blueberrypinesfarm@gmail.com,https://www.blueberrypinesfarm.com/,https://www.facebook.com/blueberrypinesfarm/,,Genuine MS — Grown | Genuine MS — Raised,https://genuinems.com/directory/blueberry-pines-farm/,2023-01-30,2026-07-15,1,,New candidate — needs independent verification,
Blueberry Ridge,MS,Picayune,Pearl River,PickYourOwn listing,,,"blueberries, |",504-905-6198,blueberryridge20@charter.net,,,,PickYourOwn — Southeast,https://www.pickyourown.org/MSse.htm,,2026-07-15,3,Blueberry Ridge,Existing release row — enrich/verify,Conservative import: listing was not marked closed; confirm activity before promotion.
Bluff Farm Supply,MS,Natchez,Jefferson,U.S. Census geocoder from public source address,"2531 Guedon Rd, Natchez, MS 39120",39120,Bluff's Blend; Buck Plus; Super 13; Bagged Corn,(601) 571-7244,blufffarmsupply@gmail.com,,,http://instagram.com/blufffarmsupply,Genuine MS — Grown,https://genuinems.com/directory/bluff-farm-supply/,2025-12-30,2026-07-15,1,,New candidate — recent authoritative profile,
Boots to Roots Farm,MS,Lucedale,George,U.S. Census geocoder from public source address,"2129 Crenshaw rd, Lucedale, MS 39452",39452,"Pork cuts; Whole roaster pigs; Whole and half, slaughtered; Smoked products; Guanciale",(907) 942-7593,duskindeichl@gmail.com,https://www.bootstorootsfarm.com,https://www.facebook.com/profile.php?id=100063574863021,https://www.instagram.com/boots_to_roots_farm?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,Genuine MS — Raised,https://genuinems.com/directory/boots-to-roots-farm/,2024-01-30,2026-07-15,1,,New candidate — needs independent verification,
Bounds Blueberry Farm,MS,Wiggins,Forrest,,"183 Highway 13, Wiggins , Mississippi 39577",39577,Blueberries; Blackberries,(601) 433-7826,boundsblueberry@gmail.com,,https://www.facebook.com/boundsblueberry,,Genuine MS — Grown | PickYourOwn — Southeast,https://genuinems.com/directory/bounds-blueberry-farm/ | https://www.pickyourown.org/MSse.htm,2024-09-12,2026-07-15,1 | 3,,New candidate — multi-source review,Conservative import: listing was not marked closed; confirm activity before promotion.
"Bowie Creek Orchard, LLC",MS,Mendenhall,Simpson,U.S. Census geocoder from public source address,"304 Universal Drive, Mendenhall, MS 39114",39114,Blueberries,601-918-4138,pepper_mike@hotmail.com,,https://www.facebook.com/bowiecreekorchard,,Genuine MS — Grown,https://genuinems.com/directory/bowie-creek-orchard-llc/,2025-04-18,2026-07-15,1,,New candidate — recent authoritative profile,
Bozeman Meat Co.,MS,Flora,Madison,U.S. Census geocoder from public source address,"4839 E Main St. , Flora, MS 39071",39071,Beef,(601) 398-8587,trey@bozemanmeats.com,,https://www.facebook.com/profile.php?id=61562104192006&mibextid=wwXIfr&mibextid=wwXIfr,http://instagram.com/Bozemanmeatco,Genuine MS — Raised,https://genuinems.com/directory/bozeman-meat-co/,,2026-07-15,1,Bozeman Meat Co.,Existing release row — enrich/verify,
Breckenridge Farms,MS,Shubuta,Clarke,U.S. Census geocoder from public source address,"181 Americana Drive, Shubuta, Mississippi 39360",39360,Muscadines; Muscadine Juice; Produce,(601) 776-7477,breckenridgefarms@yahoo.com,https://breckenridgefarms.net,https://www.facebook.com/muscadinevineyard/,,Genuine MS — Grown,https://genuinems.com/directory/breckenridge-farms/,2024-06-10,2026-07-15,1,,New candidate — needs independent verification,
Breezy Oaks Ranch,MS,Canton,Madison,U.S. Census geocoder from public source address,"298 Quail Road, Canton, MS 39046",39046,"Pasture Raised, Dry-Aged Beef; Pasture Raised Pork",(601) 668-8383,ssimpson@breezyoaksranch.com,https://breezyoaksranch.com,https://www.facebook.com/breezyoaksMS/,,Genuine MS — Raised,https://genuinems.com/directory/breezy-oaks-ranch/,2026-01-05,2026-07-15,1,,New candidate — recent authoritative profile,
Broadhead Beef,MS,Mendenhall,Simpson,U.S. Census geocoder from public source address,"1488 Highway 43 North, Mendenhall, MS 39114",39114,Ground Beef; Roast: all cuts; Steaks: all cuts,(601) 906-2148,staceyb100@bellsouth.net,,,,Genuine MS — Raised,https://genuinems.com/directory/broadhead-beef/,2025-04-23,2026-07-15,1,,New candidate — recent authoritative profile,
Broke – T Honey,MS,Philadelphia,Neshoba,U.S. Census geocoder from public source address,"13510 Hwy 488, Philadelphia, MS 39350",13510,Honey; Beeswax; Queen Bees; Hives,(601) 562-0701,broke_t@bellsouth.net,,https://www.facebook.com/pg/BrokeTHoney,,Genuine MS — Raised,https://genuinems.com/directory/broke-t-honey/,2024-01-04,2026-07-15,1,Broke-T Honey,Existing release row — enrich/verify,
Bruce Sweet Potato,MS,Bruce,Calhoun,U.S. Census geocoder from public source address,"124 Jimmy Beckley Drive , Bruce, MS 38915",38915,Sweet Potatoes,(662) 983-2400,marshall@brucesweetpotato.com,https://www.brucesweetpotato.com,https://www.facebook.com/people/Bruce-Sweet-Potato/100068379800267/,,Genuine MS — Grown,https://genuinems.com/directory/bruce-sweet-potato/,2024-08-29,2026-07-15,1,,New candidate — needs independent verification,
Burris Farms U-Pick,MS,Senatobia,Tate,PickYourOwn listing,,,"blackberries, blueberries, Muscadines, grapes, |",662-562-0075,info@burrisfarmsupick.com,,,,PickYourOwn — North,https://www.pickyourown.org/MSnorth.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
Burwell Farms LLC,MS,Lexington,Holmes,U.S. Census geocoder from public source address,"2485 Ebenezer Rd. 2485 Ebenezer Rd., Lexington, MS 39095",39095,Produce; Pork; Beef,601-624-7238,burwellw@gmail.com,https://www.burwellfarmllc.com,https://www.facebook.com/profile.php?id=61560311237933,http://instagram.com/burwell_farms,Genuine MS — Grown | Genuine MS — Raised,https://genuinems.com/directory/burwell-farms-llc/,2026-04-15,2026-07-15,1,,New candidate — recent authoritative profile,
C&W Farms Caledonia,MS,Caledonia,Lowndes,U.S. Census geocoder from public source address,"735 Jack Wiggins Road, Caledonia, MS 39740",39740,Pumpkins,(662) 640-3406,cwfarmsms@gmail.com,,https://www.facebook.com/cwfarmmscaledonia,,Genuine MS — Grown,https://genuinems.com/directory/cw-farms-caledonia/,2024-05-09,2026-07-15,1,,New candidate — needs independent verification,
"Cal-Maine Foods, Inc",MS,Ridgeland,Madison,U.S. Census geocoder from public source address,"1052 Highland Colony Pkwy, Ridgeland , MS 39157",39157,Shell Eggs; Liquid Eggs; Specialty Eggs; Cage-free Eggs; Brown Eggs; Organic Eggs; Egg-Land's Best Eggs; Land O' Lakes; Vegetarian; Omega-3 Eggs,(601) 948-6813,drrynlaster@outlook.com,https://www.calmainefoods.com/,https://www.facebook.com/CalMaineFoods/,,Genuine MS — Raised,https://genuinems.com/directory/cal-maine-foods-inc/,2025-12-23,2026-07-15,1,,New candidate — recent authoritative profile,
Carnes Farms,MS,Pontotoc,,,"164 Hurt-Wood Rd, Pontotoc, MS 38863",38863,Wooden frames; Wooden stocking holders; Wooden tree holders; Christmas Trees,(662) 419-1286,carnesfarmspontotoc@gmail.com,,https://www.facebook.com/carneschristmastreefarm,http://instagram.com/thedogwoodcompany,Genuine MS — Grown,https://genuinems.com/directory/carnes-farms/,2023-08-21,2026-07-15,1,,New candidate — needs independent verification,
Cedar Hill Farm,MS,Hernando,DeSoto,PickYourOwn listing,,,"Minimizes chemical and pesticide use , beans, blackberries, blueberries, broad beans, corn (sweet), cucumbers, eggplants, peas, pumpkins, summer squash, strawberries, tomatoes, other vegetables, Honey from hives on the farm, Fresh eggs, U-pick and already picked, farm market, gift shop, concessions or refreshment stand, restrooms, picnic area, face painting, pony rides, petting zoo, farm animals, birthday parties, weddings and wedding parties, school tours |",662-429-2540,cedarhfarm@yahoo.com,,,,PickYourOwn — North,https://www.pickyourown.org/MSnorth.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
Cedar Hill Farm & Cedar Hill’s Haunted Farm,MS,Hernando,,,"008 Love Rd, Hernando, MS 38632",38632,Blueberries; Blackberries; Peaches; Plums; Honey; Eggs; Christmas Trees,(662) 429-2540,cedarhfarm@yahoo.com,https://gocedarhillfarm.com/,https://www.facebook.com/gocedarhillfarm,http://instagram.com/gocedarhillfarm,Genuine MS — Grown | Genuine MS — Raised,https://genuinems.com/directory/cedar-hill-farm-cedar-hills-haunted-farm/,2025-05-27,2026-07-15,1,,New candidate — recent authoritative profile,
Charlie’s U-Pik,MS,Lucedale,George,,"257 Charlie's Lane, Lucedale 39452 OR 3787 MS-26, Wiggins 39577, Lucedale, MS 39452",39452,Tomatoes; Peas & Butter Beans; Cucumbers; Bell & Hot Peppers; Squash/Zucchini; Sweet Corn; Watermelon; Okra; Eggplant; Cantaloupe,(601) 530-0548,info@charliesupik.com,http://charliesupik.com/,https://www.facebook.com/charliesupiklucedale,,Genuine MS — Grown | PickYourOwn — Southeast,https://genuinems.com/directory/charlies-u-pik/ | https://www.pickyourown.org/MSse.htm,2024-09-03,2026-07-15,1 | 3,,New candidate — multi-source review,Conservative import: listing was not marked closed; confirm activity before promotion.
Charlie's U-Pik Wiggins,MS,,Stone,PickYourOwn listing,,,a variety of vegetables |,601-530-0548,info@charliesupik.com,,,,PickYourOwn — Southeast,https://www.pickyourown.org/MSse.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
Chatawa Farms,MS,Magnolia,Pike,PickYourOwn listing,,,"certified organic blueberries, and prepicked produce | Chatawa, Mississippi Highway 51, Magnolia, MS 39652.",985-626-0029,sdethor@bellsouth.net,,,,PickYourOwn — Southwest,https://www.pickyourown.org/MSsw.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
Cherry Creek Orchards,MS,Pontotoc,Pontotoc,PickYourOwn listing,,,"apples, blackberries, grapes, Muscadines, grapes, melons, nectarines, peaches, plums, pumpkins, other vegetables, Honey from hives on the farm, U-pick and already picked, school tours |",662-489-7783,cherrycreekorchards@gmail.com,,,,PickYourOwn — North,https://www.pickyourown.org/MSnorth.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
Chicora Organic Farm,MS,Buckatunna,Wayne,PickYourOwn listing,,,"Uses natural growing practices , blueberries, |",601-410-5213,don@chicoraorganicfarms.com,,,,PickYourOwn — Southeast,https://www.pickyourown.org/MSse.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
Chulahoma’s Garden,MS,Holly Springs,Marshall,U.S. Census geocoder from public source address,"260 Jamison Rd, Holly Springs, MS 38635",38635,"Vegetables, variety, specialize in leafy greens, lettuce, squash and peppers both hot and bell; HONEY; NATURAL SOAPS AND BATH BALLS; CANNED PRODUCTS",(662) 484-3260,chulahomasgarden@gmail.com,,https://www.facebook.com/ChulahomasGarden/,https://www.instagram.com/deloriseandtony/,Genuine MS — Grown | Genuine MS — Raised,https://genuinems.com/directory/chulahomas-garden/,2025-04-11,2026-07-15,1,Chulahoma's Garden,Existing release row — enrich/verify,
