candidate_key,observation_count,farm_names,source_names,cities,counties,review_status,observation_ids
bobby lewis farm,2,Bobby Lewis Farm | BOBBY LEWIS FARM,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Webb,Houston,merged_exact_name_single_geography,alobs_8755eca26bced577d91b | alobs_e55592da463bf6304422
brown farms,3,Brown Farms | BROWN FARMS,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — u-pick map | PickYourOwn — North Alabama,New Market,Madison,merged_exact_name_single_geography,alobs_ab0cc44423a8b8e3e2b7 | alobs_8d16b36d791472165fe7 | alobs_f309fedb03ab5e6ab593
bs bees,2,B's Bees LLC | B's Bees,Alabama Plant Protection — Beekeepers Selling Bees | Sweet Grown Alabama — Farm members,Loxley,Baldwin,merged_exact_name_single_geography,alobs_3893744ce466d41bc1c9 | alobs_d01efad9d08ce8e52017
bullock county nutrition ctr,2,Bullock County Nutrition Ctr,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Union Springs,Bullock,merged_exact_name_single_geography,alobs_acab822ba262bf8371fb | alobs_2a5f4dd8d6443a2fc694
burks farm,2,Burks Farm,Alabama Farmers Market Authority — farm-stand map | PickYourOwn — Central Alabama,Cullman,Cullman,merged_exact_name_single_geography,alobs_8de295d1da72c3f83c7a | alobs_68ad78c06a23313d7edd
burnette farms,3,Burnette Farms | BURNETTE FARMS,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map | Sweet Grown Alabama — Farm members,Clanton,Chilton,merged_exact_name_single_geography,alobs_95919b503877ecc3f5ed | alobs_58e058edf181af9d17cd | alobs_05d6c53290b1750bbf7b
c 4 cattle co,2,"C-4 Cattle Co., LLC",Alabama Cattlemen’s Association — Bama Beef Sales Directory | Sweet Grown Alabama — Farm members,Grand Bay,Mobile,merged_exact_name_single_geography,alobs_fcea1fed64523f6f8853 | alobs_bed0ece9f852548928a4
c and b farm and produce,2,C & B Farm & Produce | C&B FARM&PRODUCE,Alabama Farmers Market Authority — farm-stand map | Alabama Farmers Market Authority — u-pick map,Newton,Geneva,merged_exact_name_single_geography,alobs_4404bd16920bae979bcf | alobs_ca3a5051ecd18d6e86d0
c and j farms,2,C and J Farms | C & J Farms,PickYourOwn — Southeast Alabama | Sweet Grown Alabama — Farm members,Lawley,Chilton | Perry,merged_cross_county_shared_identity_preferred_geography,alobs_e4997fa8d5cea8f820e4 | alobs_3ac0513b0cb4e7fc2a3b
c watts farm,3,C Watts Farm,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map | PickYourOwn — Central Alabama,Munford,Talladega,merged_exact_name_single_geography,alobs_3232c60e345d77a6c8aa | alobs_803ce43aa91fdf3113f7 | alobs_0fa8760f0706b127cf51
camacho bee company,2,Camacho Bee Company,Alabama Plant Protection — Beekeepers Selling Bees | Sweet Grown Alabama — Farm members,Prattville,Autauga,merged_exact_name_single_geography,alobs_6cd0e019cfc563e0f1a0 | alobs_a96b850888f285b01f4a
chambers farms,2,Chambers Farms,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Holly Pond,Cullman,merged_exact_name_single_geography,alobs_118ad32c47b48027eb7c | alobs_9fb47231943178c2019a
champion farms,5,Champion Farms | CHAMPION FARMS,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map | Alabama Farmers Market Authority — u-pick map | PickYourOwn — North Alabama | Sweet Grown Alabama — Farm members,Falkville,Morgan,merged_exact_name_single_geography,alobs_89216536351f56f308c9 | alobs_dde141781d6df565d4da | alobs_f5343c93c722eeb4b98d | alobs_a7339a795f29b98d9ad5 | alobs_769f002cae883629595c
charles gamble,2,CHARLES GAMBLE | Charles Gamble,Alabama Farmers Market Authority — u-pick map | PickYourOwn — Central Alabama,Mccalla,Jefferson,merged_exact_name_single_geography,alobs_32e37baf32157bb1ade9 | alobs_0823ce8e3f349cccc937
circle m ranch,2,Circle M Ranch LLC | Circle M Ranch,Alabama Cattlemen’s Association — Bama Beef Sales Directory,Eutaw | Faunsdale,Greene | Marengo,split_county_conflict_no_merge,alobs_7a0aec4a8ceb6b6d8f6a | alobs_53770f35cac763351b91
ck cattle,2,CK Cattle,Alabama Cattlemen’s Association — Bama Beef Sales Directory | Sweet Grown Alabama — Farm members,Hope Hull,Lowndes,merged_exact_name_single_geography,alobs_7e73253f01ceb0faf703 | alobs_b90f788501b33502b7f5
crafts blueberry farm,2,CRAFT'S BLUEBERRY FARM | Craft's Blueberry Farm,Alabama Farmers Market Authority — u-pick map | PickYourOwn — Central Alabama,Talladega,Talladega,merged_exact_name_single_geography,alobs_ba4119ce9916d987a745 | alobs_ad00c07213cfa4a91f1b
crescent moon acres,2,Crescent Moon Acres | CRESCENT MOON ACRES,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Phil Campbell,Franklin,merged_exact_name_single_geography,alobs_413d74bb505e577ef4bf | alobs_8ca4ed2ff1f8c9ee924d
crossover produce,2,Crossover Produce | CROSSOVER PRODUCE,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Opp,Covington,merged_exact_name_single_geography,alobs_7b13516dd564e37e95a4 | alobs_3fbb421d6427566ffde4
earnest roots farm,2,Earnest Roots Farm,Alabama Cattlemen’s Association — Bama Beef Sales Directory | Sweet Grown Alabama — Farm members,Ashville,St. Clair,merged_exact_name_single_geography,alobs_7923932281ffa9364596 | alobs_1e9b71215668c28c0128
edmondson farm,2,Edmondson Farm,Alabama FMA — 2026 statewide farm-stand roster | Sweet Grown Alabama — Farm members,Holly Pond,Covington | Cullman,split_county_conflict_no_merge,alobs_07b2be1303ec37396f4d | alobs_0f8315cf067d8eee2f6c
farm 47,2,Farm 47,Alabama Cattlemen’s Association — Bama Beef Sales Directory | Sweet Grown Alabama — Farm members,Henegar | Henagar,DeKalb,merged_exact_name_single_geography,alobs_2dc1c40f798b7e1b156d | alobs_07bc7fc40cc552b52a00
finley family farm,2,"Finley Family Farm, LLC | FINLEY FAMILY FARM, LLC",Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Camphill,Tallapoosa,merged_exact_name_single_geography,alobs_ac7bb78f8055b84b8b92 | alobs_b5ed19a719e752bb849b
five oak farms,2,FIVE OAK FARMS | Five Oak Farms,Alabama Farmers Market Authority — u-pick map | PickYourOwn — Central Alabama,Holly Pond,Cullman,merged_exact_name_single_geography,alobs_d76dc897a2b386bebfda | alobs_a59fd65059221e958b3f
flying basset farm,2,Flying Basset Farm,PickYourOwn — Southeast Alabama | Sweet Grown Alabama — Farm members,Forest Home,Butler,merged_exact_name_single_geography,alobs_783d0c54cc72f7487186 | alobs_0bd84a30b35bc644784d
ford farms,4,"Ford Farms LLC | Ford Farms, LLC",Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map | Sweet Grown Alabama — Farm members,Marion | Clanton,Chilton | Dallas | Perry,merged_cross_county_shared_identity_preferred_geography,alobs_054112c803f8686932b2 | alobs_d37b2bcd495312b574d1 | alobs_eb37a9f0c5411b9fcf89 | alobs_acec788eb57538ce54ab
four mile farms produce,3,Four Mile Farms Produce | FOUR MILE FARMS PRODUCE,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map | Alabama Farmers Market Authority — u-pick map,Sylacauga,Talladega,merged_exact_name_single_geography,alobs_709546e4735add9257d3 | alobs_c92fe0ad2a4667f106b9 | alobs_c47deb5fb602e12986d3
future farmers youth group,2,Future Farmers Youth Group,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Sardis,Dallas,merged_exact_name_single_geography,alobs_280facfc75b60b473a99 | alobs_fb7a50f8d16402dd3759
gardners berry farm,4,Gardner’s Berry Farm | GARDNERS BERRY FARM | Gardners Berry Farm | Gardner's Berry Farm,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — u-pick map | PickYourOwn — Southwest Alabama | Sweet Grown Alabama — Farm members,Robertsdale,Baldwin,merged_exact_name_single_geography,alobs_1cdd641ad640faed6110 | alobs_50d3d4259de748616269 | alobs_b18e76d1c2ff696622a9 | alobs_da1f4142d408a052d203
gleann brook acres,2,Gleann Brook Acres,Alabama Cattlemen’s Association — Bama Beef Sales Directory | Sweet Grown Alabama — Farm members,Bremen,Cullman,merged_exact_name_single_geography,alobs_847fa91bd170befb6168 | alobs_4c30338b1075bfdf66d1
gnh farms,3,"GNH Farms | GNH Farms, LLC",Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — u-pick map | Sweet Grown Alabama — Farm members,Albertville,Marshall,merged_exact_name_single_geography,alobs_e8dbe17abf44792f4dda | alobs_76f1822d78ef6609366c | alobs_5b596a75e7559ba26eac
grandview mountain strawberry farm,2,Grandview Mountain Strawberry Farm,PickYourOwn — Central Alabama | Sweet Grown Alabama — Farm members,Cullman,Cullman,merged_exact_name_single_geography,alobs_058f38ef470bb5221ba5 | alobs_45ded0935d55f6bb4ddd
handeys farm and nursery,2,Handey's Farm and Nursery,PickYourOwn — Southeast Alabama | Sweet Grown Alabama — Farm members,Montgomery,Montgomery,merged_exact_name_single_geography,alobs_d2655d85b2cfd65cfb0e | alobs_75ea33a6cb6e28282c9b
harris farm,2,HARRIS FARM,Alabama Farmers Market Authority — farm-stand map | Alabama Farmers Market Authority — u-pick map,Heflin,Cleburne,merged_exact_name_single_geography,alobs_6142f7cd8b44da2ab8cf | alobs_cd259bd81321b56d18b4
harvest farm blueberries,2,HARVEST FARM BLUEBERRIES | Harvest Farm Blueberries,Alabama Farmers Market Authority — u-pick map | PickYourOwn — North Alabama,Harvest,Madison,merged_exact_name_single_geography,alobs_2c0000da08de5f5cd89f | alobs_d39c0398744270c8850e
harville harvest,2,Harville Harvest,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Albertville,Marshall,merged_exact_name_single_geography,alobs_059c18b3be3312e6e3ec | alobs_dd79656ee076734e2bd6
hendrix farm produce,2,Hendrix Farm Produce,Alabama Farmers Market Authority — farm-stand map | Sweet Grown Alabama — Farm members,Slocomb,Geneva,merged_exact_name_single_geography,alobs_ea81b3e549f0370111e8 | alobs_67be6817bc06bacbe29b
henke farms produce,2,Henke Farms Produce | HENKE FARMS PRODUCE,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Cullman,Cullman,merged_exact_name_single_geography,alobs_c41091906507fcd3611f | alobs_187b30e280fffbbaf9df
hickory hollow vineyard,2,HICKORY HOLLOW VINEYARD | Hickory Hollow Vineyard,Alabama Farmers Market Authority — u-pick map | PickYourOwn — Southwest Alabama,Goodway | Frisco City,Monroe,merged_exact_name_single_geography,alobs_50eb2f1e824ab9fd3aab | alobs_de4d48cdc363a504e79b
high rock farm,2,"High Rock Farm, LLC | High Rock Farm, LLC.",Alabama Cattlemen’s Association — Bama Beef Sales Directory | Sweet Grown Alabama — Farm members,Albertville,Marshall,merged_exact_name_single_geography,alobs_9c9f2fd68d5612c56384 | alobs_1ebdf87946d4841be29f
hillcrest farm,2,Hillcrest Farm,Alabama FMA — 2026 statewide farm-stand roster | PickYourOwn — Southwest Alabama,Elberta,Baldwin,merged_exact_name_single_geography,alobs_d82ee6bb0421677e5a30 | alobs_1f75d7d382545e5e5999
hillside farm,2,Hillside Farm,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Leroy,Clarke,merged_exact_name_single_geography,alobs_34f12f0e408ac5643160 | alobs_e5110a8a4ebb2bced370
hines family farm,5,"Hines Family Farm | HINES FAMILY FARM LLC | Hines Family Farm, LLC",Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map | Alabama Farmers Market Authority — u-pick map | PickYourOwn — North Alabama | Sweet Grown Alabama — Farm members,Killen,Lauderdale,merged_exact_name_single_geography,alobs_ce278f5f4dcefbcb8f05 | alobs_c3430c8179cda50ee94b | alobs_b12d43a87d8394789e31 | alobs_bb2b77f1a6305111c10a | alobs_0496864847d395a6be35
howard family holiday farm,2,HOWARD FAMILY HOLIDAY FARM | Howard Family Holiday Farm,Alabama Farmers Market Authority — farm-stand map | Sweet Grown Alabama — Farm members,Moody,St. Clair,merged_exact_name_single_geography,alobs_a52fbef5250ca089075d | alobs_8a4663ff1759e216e3e5
ike behar,2,IKE BEHAR | Ike Behar,Alabama Farmers Market Authority — u-pick map | PickYourOwn — Southeast Alabama,Enterprise,Dale,merged_exact_name_single_geography,alobs_cda89d0e5e42fa31809c | alobs_7d8125ff74b7f23f3357
irish twins farm,3,Irish Twins Farm | IRISH TWINS FARM,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Clanton,Chilton,merged_exact_name_single_geography,alobs_4a212422a43a71e18937 | alobs_af2fa4490721ba67c742 | alobs_eb3048df1247b9d84cea
isoms orchard,3,Isom’s Orchard | Isom's Orchard,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map | PickYourOwn — North Alabama,Athens,Limestone,merged_exact_name_single_geography,alobs_b403f7ed8782348a4f48 | alobs_8168d18e59eafdd101eb | alobs_c0b4cfa78cf72e5d5474
ivy creek market,2,Ivy Creek Market | IVY CREEK MARKET,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Rutledge,Crenshaw,merged_exact_name_single_geography,alobs_7b1c855da8e4bb66722b | alobs_88832ecc5e4549dad06a
j and j mini farmer market,2,J&J Mini Farmer Market | J&J MINI FARMER MARKET,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Town Creek,Lawrence,merged_exact_name_single_geography,alobs_1a1a5a31e6cbff418d39 | alobs_526dcd664ccd5fbe345c
j calvert farms,3,J Calvert Farms | J. Calvert Farms,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map | Sweet Grown Alabama — Farm members,Cullman,Cullman,merged_exact_name_single_geography,alobs_c49375b55355f3e9eb58 | alobs_d1c243f32835fc1f4966 | alobs_273dee8ef9f28d8510fd
jerry marsh farm,2,Jerry Marsh Farm,Alabama Farmers Market Authority — farm-stand map | PickYourOwn — Central Alabama,Cleveland,Blount,merged_exact_name_single_geography,alobs_cc46132c04e88d867b81 | alobs_b1fb1da949437e356951
jerrys berries,3,Jerry’s Berries | JERRY'S BERRIES | Jerry's Berries,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — u-pick map | PickYourOwn — Central Alabama,Jacksonville,Calhoun,merged_exact_name_single_geography,alobs_1a402bcfcf2939a9bf45 | alobs_088a2d98656acafd4b91 | alobs_19c34888bef7201fc8ac
jjs produce,2,JJ’s Produce | JJ's Produce,Alabama FMA — 2026 statewide farm-stand roster | Sweet Grown Alabama — Farm members,Lawley,Chilton | Perry,split_county_conflict_no_merge,alobs_b1c8bd21a53299f6f0bd | alobs_d5a05b3993933d8001e0
jones farm,2,Jones Farm,Alabama Cattlemen’s Association — Bama Beef Sales Directory | Sweet Grown Alabama — Farm members,Prattville,Autauga,merged_exact_name_single_geography,alobs_d1a3ce9fb510d9a875f5 | alobs_20fc3b8056d7efe31149
jyj red angus,2,"JYJ Red Angus, LLC | JYJ RED ANGUS LLC",Alabama Cattlemen’s Association — Bama Beef Sales Directory | Sweet Grown Alabama — Farm members,Columbia,Henry | Houston,merged_cross_county_curator_override_official_profile,alobs_80c95d8995e1dd221088 | alobs_1a3328b2aa9a00053ea1
kings farm,2,Kings Farm | King's Farm,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Notasulga,Macon,merged_exact_name_single_geography,alobs_4e3da791ad960a0d0e85 | alobs_97763c9f619f86c4c36e
knights farm,2,KNIGHT'S FARM | Knight’s Farm,Alabama Farmers Market Authority — farm-stand map | Sweet Grown Alabama — Farm members,Clanton,Chilton,merged_exact_name_single_geography,alobs_89541350ebbd24c494a9 | alobs_3e6f13304e9641f6288e
kress farms,2,KRESS FARMS | Kress Farms,Alabama Farmers Market Authority — farm-stand map | Sweet Grown Alabama — Farm members,Cullman,Cullman,merged_exact_name_single_geography,alobs_74b8bbe85dd414022f08 | alobs_268f95a446538ad19d54
lake city produce buddys,2,Lake City Produce/Buddy’s | Lake City Produce/Buddy's,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Eufaula,Barbour,merged_exact_name_single_geography,alobs_096e3baeb74b2cfaea8d | alobs_bf7a8a8d311ca34aa66c
leaky brooke farm,3,Leaky Brooke Farm | LEAKY BROOKE FARM,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — u-pick map | PickYourOwn — Southeast Alabama,Elba,Coffee,merged_exact_name_single_geography,alobs_c949589abc9f2bfc7fe6 | alobs_efb2eaa73a63ecf3cde3 | alobs_44a4e1948a7ca85088d2
lone oak,2,Lone Oak,PickYourOwn — North Alabama | PickYourOwn — Southeast Alabama,Pisgah,Jackson | Macon,split_county_conflict_no_merge,alobs_c42b3e93e8fd8199398c | alobs_a19861f10e228a19a523
louallen farms,5,Louallen Farms | LouAllen Farms | LOUALLEN FARMS,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map | Alabama Farmers Market Authority — u-pick map | PickYourOwn — North Alabama | Sweet Grown Alabama — Farm members,Moulton,Lawrence,merged_exact_name_single_geography,alobs_e2b6ccde2cfac2849038 | alobs_c62be37b16abe20a24eb | alobs_c6c25c5bb1815182219b | alobs_89829dcdf63ec4503fbc | alobs_7b312f91bad465304d6d
loxley farm market,2,Loxley Farm Market | LOXLEY FARM MARKET,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Loxley,Baldwin,merged_exact_name_single_geography,alobs_8e651968ca7bcf2eb462 | alobs_ddf8c8c8b03853e124f5
lyon blueberry farm,2,LYON BLUEBERRY FARM | Lyon Blueberry Farm,Alabama Farmers Market Authority — u-pick map | PickYourOwn — Central Alabama,Wilsonville,Shelby,merged_exact_name_single_geography,alobs_622bfc0ae131732eff9b | alobs_762f0e4fca4e34838f98
lyrenes blueberry farm,3,Lyrene’s Blueberry Farm | Lyrene's Blueberry Farm,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — u-pick map | PickYourOwn — Southwest Alabama,Fairhope,Baldwin,merged_exact_name_single_geography,alobs_8db18b6f8f9a6b2c385c | alobs_040424260a8d81689164 | alobs_5de97141e4f4c6da92d8
maggie valley berry patch,2,Maggie Valley Berry Patch,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Grant,Marshall,merged_exact_name_single_geography,alobs_eabd61bc9cc9201806e8 | alobs_d8d1e9c046b576597b29
mccraw farms,3,MCCRAW FARMS | McCraw Farms,Alabama Farmers Market Authority — farm-stand map | Alabama Farmers Market Authority — u-pick map | PickYourOwn — Southeast Alabama,Maplesville,Chilton,merged_exact_name_single_geography,alobs_61a48b4d9a3139fcf385 | alobs_7e583f97b6751ab9fbd6 | alobs_b5acd50a674fa2fa1ea7
mckenzie farm market,2,McKenzie Farm Market,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Fairhope,Baldwin,merged_exact_name_single_geography,alobs_ecf39895b409809a14f0 | alobs_548d0ab68a8b48b4e16d
morgan creek vineyards,2,MORGAN CREEK VINEYARDS | Morgan Creek Vineyards,Alabama Farmers Market Authority — u-pick map | PickYourOwn — Central Alabama,Harpersville,Shelby,merged_exact_name_single_geography,alobs_2586b766cc4d901e9cea | alobs_1ae7aa81565b9cbcbeb3
morgans produce,2,Morgan’s Produce | MORGAN'S PRODUCE,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Boaz,Marshall,merged_exact_name_single_geography,alobs_7f232e69475909bf34c8 | alobs_47fcee7c0ea1b04fd7ca
mps vegetable fruits,2,MP's Vegetable Fruits LLC | MP'S VEGETABLE FRUITS LLC,Alabama Farmers Market Authority — farm-stand map | Alabama Farmers Market Authority — u-pick map,Lowndesboro,Lowndes,merged_exact_name_single_geography,alobs_ef53108254a4e73ea3e5 | alobs_d8d9c8f12026710afc06
mullins orchard,2,Mullins Orchard,PickYourOwn — North Alabama | Sweet Grown Alabama — Farm members,Meridianville,Madison,merged_exact_name_single_geography,alobs_230cca712e21fd1fd824 | alobs_9a91cd2722123f99b751
nances creek farm,2,Nances Creek Farm,Alabama Farmers Market Authority — u-pick map | PickYourOwn — Central Alabama,Jacksonville,Calhoun,merged_exact_name_single_geography,alobs_1ca9c845cdabb4ec7672 | alobs_5e15bac52827a6fb3ed8
nances creek farms,2,NANCES CREEK FARMS | Nances Creek Farms,Alabama Farmers Market Authority — farm-stand map | Sweet Grown Alabama — Farm members,Jacksonville,Calhoun,merged_exact_name_single_geography,alobs_6e9ecd2b9cb42423f31e | alobs_00025005d13290fb6de8
narrow gap farm,2,Narrow Gap Farm,Alabama Cattlemen’s Association — Bama Beef Sales Directory | EatWild Alabama directory,Brewton | Brewton ,Escambia,merged_exact_name_single_geography,alobs_9631f0697fadd80c0db3 | alobs_06f7a1c111f40bf65717
norris produce,2,Norris Produce | NORRIS PRODUCE,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Georgiana,Butler,merged_exact_name_single_geography,alobs_8957c094b8a66c2591d3 | alobs_91a44b10c57df4cfaed4
oak hill produce,4,Oak Hill Produce | OAK HILL PRODUCE,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map | Alabama Farmers Market Authority — u-pick map | PickYourOwn — Southwest Alabama,Grand Bay,Mobile,merged_exact_name_single_geography,alobs_f75b5118c21a16a1eeda | alobs_7363490d2ba875b7e138 | alobs_21ffab5195094fd24be4 | alobs_699af4b68ac3541d50da
