entity_id,farm_name,county,issue_type,issue_detail,recommended_action,status
AL-DE29009FF4,Brown's Orchards and Vineyards,Lauderdale,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-436A53F019,Bryant Vineyards,Shelby,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-D321454876,Burks Farms,Cullman,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-43F33298BA,C&B Edmondson Farm,Geneva,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-5F77EE4DF5,Calvert Farms,Cullman,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-764444E5A7,CD Farms,Autauga,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-44C7BC07CA,Charles E. Carroll,Geneva,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-ADD431C452,CharlesTurner– Three Queens Farm,Geneva,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-1A5BE05429,Choctaw Bee Company LLC,Geneva,promotion_blocker,bee seller requires farm-operation evidence; city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-FE958FD7DF,Circle M Ranch LLC,Greene,promotion_blocker,same normalized name appears in multiple counties,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-0CB9143EA4,Circle M Ranch,Marengo,promotion_blocker,same normalized name appears in multiple counties,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-87B191F368,Cleckler Farm,Chilton,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-7087187CA9,Clyde&Sally Leavelle-Leavelle Farms,Tuscaloosa,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-2855675C8D,Cooedy Farms,Chilton,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-F75AA3B11B,Corndodgers Blooms and Berries,Henry,promotion_blocker,city or safe public service area missing; single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-5CA8BE1D2D,Country Best Farms,Coffee,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-2917348339,Country Dreams,Etowah,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-46D0BBB04D,Country Living Farms,Russell,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-8827123FA0,Courtney,Chilton,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-EF34EFF56C,Cutting G Farms,Blount,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-A1D7AE3D7D,DeBoer Family Farm,Marshall,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-11BB162015,Deloney Farms,Dale,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-68463234CB,Donald&RhondaHendrix–Hendrix Farm,Geneva,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-A62D5798D1,Donald Hall-Hall’s Produce,Bullock,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-12E3C3C87A,Doster Farm,Chilton,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-AB0A9C0896,Dry Valley Vineyard,Shelby,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-BA5EA52F57,E & J Farms,Morgan,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-C5ADBFBA67,East Alabama Black Belt Farmer's Cooperative,Barbour,promotion_blocker,products or farm activity missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-1C393426D9,Easterling's Big Peach,Chilton,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-8FC524988D,Eddie's Bees,Montgomery,promotion_blocker,bee seller requires farm-operation evidence; city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-77555596E2,Edmondson Farm,Covington,promotion_blocker,same normalized name appears in multiple counties; city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-97E819E537,Edmondson Farm,Cullman,promotion_blocker,same normalized name appears in multiple counties,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-3E47C539E8,Edmondson's Farm,Covington,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-5D96D3149D,Enterprise State Community College,Coffee,promotion_blocker,bee seller requires farm-operation evidence; city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-23B89009EE,F. E. Little,Baldwin,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-394A9C50AF,Factory Falls Apiary,Marion,promotion_blocker,bee seller requires farm-operation evidence; city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-12F1ACC951,Fagerman Farm,Morgan,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-48D9AF8221,Five Points Farms,Blount,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-15C8544625,Flatcreek,Coffee,promotion_blocker,bee seller requires farm-operation evidence; city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-3945B5534C,Ford Greenhouse &,Walker,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-230BF9392B,Four R Farms,Geneva,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-45C0975FA0,Fresh Off The Farm,Mobile,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-9D3A9CE406,FreshGreems Market,Montgomery,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-D642136D26,Generations Forward Learning Farm,Coffee,promotion_blocker,products or farm activity missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-C6693E72D9,George R. Carlton,Tallapoosa,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-064F7AFE82,Gilbert Strawberry Farm,DeKalb,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-DDF3EE9CAF,Gin House Branch Farm,Morgan,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-C222A6BBEC,Glory Bee Hives,Choctaw,promotion_blocker,bee seller requires farm-operation evidence; city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-C6C95482C1,GNH Farm,Marshall,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-2AC0B5BF18,GregFleming–DogwoodHills FarmMarket,Escambia,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-48CCD62F5C,Gregory Blue Berry Farm,Greene,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-16DF1F67A8,Gullion Farms Down on the Farm,Morgan,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-179EE02B36,Guntersville Middle School FFA,Marshall,promotion_blocker,products or farm activity missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-2502C10F4E,H&R Apiary LLC,Colbert,promotion_blocker,bee seller requires farm-operation evidence; city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-F74C1E1963,Hammett Farms Honey,Cherokee,promotion_blocker,bee seller requires farm-operation evidence; city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-2BFD882635,Hardman Blueberry Farm,DeKalb,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-17A2961053,Harris Farm/UP,Cleburne,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-36D40846DF,Harvest Farm,Madison,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-85817CDB19,Heaven Sent Honey Bees,Etowah,promotion_blocker,bee seller requires farm-operation evidence; city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-596C62B191,Hillcrest Farm & Vineyard,Baldwin,promotion_blocker,bee seller requires farm-operation evidence; city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-3037966522,Holmestead Farm,Talladega,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-3E6302B1F6,Homestead Farm,Clay,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-4013A8E84C,Howard FamilyHoliday,St. Clair,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-D5AAD41099,Hubert Brand,St. Clair,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-0198E0EC64,Hubert Family Farms,St. Clair,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-781DABB68C,Hyde's Harvest,Madison,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-A89D4FE3E9,J and A Produce,Houston,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-EAE585FFDE,J&J Blueberry Farm,Elmore,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-455DFBDB49,Jack Granger's Blueberry Hill,Coosa,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-9BD892B5E2,James Childs Sr-James Childs Farm,Greene,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-DE46532A8B,James Turk– Turk’sProduce,Escambia,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-CC70B44036,JerryMarsh Farm Stand,Blount,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-B15E4EA303,Jimmy Durbin Farms Sunshine Farms,Chilton,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-EDBB838269,JimSuttle-U-pick,Shelby,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-1102ED2193,JJ’s Produce,Chilton,promotion_blocker,same normalized name appears in multiple counties; city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-731CE4514D,JJ's Produce,Perry,promotion_blocker,same normalized name appears in multiple counties,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-317D7BA84E,John&TommyAplin–Aplin Farm,Geneva,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-F9ECA51E85,John G. Neighbors,Coosa,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-C24610763D,Joreski Family,Geneva,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-4D4695355E,K&D U-Pick Blueberries,Bibb,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-739ABBAC6D,Kathy&Layne Howard-Five Oak Farm,Cullman,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-50F360D661,Ken Buck Farms,Mobile,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-10DBCD079F,KimberlySlay–Slay’sHomegrownTomatoes,Chambers,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-93360BCFCA,Knights Farms,Chilton,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-A3FB31D5ED,Lang's u-pick Blueberries,Tuscaloosa,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-045D97DC59,Leavelle's Berries,Tuscaloosa,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-6C8E4C6219,Locklar’s Farm,Bullock,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-CE517D068D,Lone Oak,Jackson,promotion_blocker,same normalized name appears in multiple counties; single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-0662500E18,Lone Oak,Macon,promotion_blocker,same normalized name appears in multiple counties; city or safe public service area missing; single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-269BD868D6,Maggie Valley Berry Patch and Farms,Marshall,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-D6DC5D11D4,Maria's Vineyard,Houston,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-BBAF6E907D,McMichen's Lost Creek Farm & Forage,Cleburne,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-B56002730D,Meadowlark Farms of Fairhope,Baldwin,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-5A63E75F61,Melina Hills Farm,Autauga,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-ED77B4548C,Melvin & Eugenia Winfrey– WinfreyFarm,Marshall,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-FC9B671BB7,MicahShiver– Mills Produce,Geneva,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-C873212795,Mid South Bee Supply,Montgomery,promotion_blocker,bee seller requires farm-operation evidence; city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-F61AD9C218,MikeReeves–Reeves Farm,Morgan,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-AEE8FDADAE,Milfred Lee Unruh,Sumter,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-0C3205DCA5,Mims Blueberry Farm,Morgan,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-3F091AC80C,Moody Family Farm,Blount,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-2E9170588E,Moore Farm,Marengo,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-B0F0E0FC88,Moore-Webb-Holmes Plantation,Perry,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-567A47F0EF,Mountain Top Bees,St. Clair,promotion_blocker,bee seller requires farm-operation evidence; city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-6012F11A93,"MP’s Vegetable Fruit, LLC",Lowndes,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-CD9B17C0EA,Norden & Sons,Baldwin,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-E6012FE8D1,Oakachoy Nursery and Blueberry Farm,Coosa,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-2B80B383BA,OakGroveProduce,Pike,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-9DFAA456FD,Our Happy Place Blueberry Farm,Morgan,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-C5571826FA,Pa-Pa’sProduce,Tallapoosa,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-99216BAE72,Papa Jim's Bees,Franklin,promotion_blocker,bee seller requires farm-operation evidence; city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-9627B7D51A,Park Farm Produce,Tuscaloosa,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-11230E0D98,Parker&LareaHarris–Harris Farms,Wilcox,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-C807C85370,Pea River Berry Farm,Dale,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-E23B4CE8F9,Penton Farms - Sugar Hill Farms,Chilton,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-8F3C40F2EE,Phillips Farms,Marshall,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-82FCB0AA33,Planting Roots Farms,Marion,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-C61914A820,Pocahontas Produce aka McCalla Produce,Jefferson,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-AEE1189446,Poppy's & Patty's Blueberry Farm,Autauga,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-785432C21C,Porters Place,Elmore,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-54B8759D5D,Powel Blueberry Farm,Mobile,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-124572185D,Quacky Feet Farm - FS,Walker,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-C7CD685DC4,Rainbow Omega Eastaboga,Talladega,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-72BD4CC008,Rainbows End Apiary,Madison,promotion_blocker,bee seller requires farm-operation evidence; city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-8DB9532C43,Randle Farms,Lee,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-E05D731565,Reeder Ridge Honey,Coffee,promotion_blocker,bee seller requires farm-operation evidence; city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-E3A9ABA5A8,Reeves (James Reeves) Farm,Baldwin,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-AF8D5524C5,Reeves Peach Farm,Morgan,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-7FAF0E5E32,Robert and Ada Strickland,Jefferson,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-48022F7C3F,Rocky Hollow Pumpkin Patch,Cherokee,promotion_blocker,city or safe public service area missing; single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-7E26093252,Rocky Top Peach Farm,Chilton,promotion_blocker,city or safe public service area missing; single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-96A545DD6F,Roger Williams Blueberries,Crenshaw,promotion_blocker,city or safe public service area missing; single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-816D817A1E,Rogers Berry Farm (U-pick),Coosa,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-20E9F61697,Roland and Elizabeth Miller Farm,Chilton,promotion_blocker,city or safe public service area missing; single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-C290A77770,RT's Farm,Lauderdale,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-402F9A5F46,Sand Mountain Vineyards,Jackson,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-968D81CD97,SessionsFarm Market,Mobile,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-013DE7723E,Shade Tree Farm,Lee,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-81376727E9,Shannon/Thomas Murray-Murray Farms,Franklin,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-333384EDC1,Sherry's Berrries,Madison,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-E92BD154B2,Shiver's,Houston,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-0D4673D04C,Slaten U-Pick,Morgan,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-7664EE5BC1,Sleepy Hollow Blueberry Farm,Blount,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-26B3EB01E1,Sloshie Mae's Farm,Cullman,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-2AA10CCABF,Smith Farn,Shelby,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-BA065B9E55,Smith TomatoLLC,St. Clair,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-EDA711193A,Southern Growers Nursery And Greenhouse,Montgomery,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
