candidate_key,observation_count,farm_names,source_names,cities,counties,review_status,observation_ids
bs farms,2,BS Farms,FarmFinder curator verification — farm-owned or authoritative evidence | Texas Department of Agriculture — Farm to School vendor resource list,Bluff Dale,Erath,merged_exact_name_single_geography,txobs_5298122ef846d1ba147a | txobs_24de0c243eb50ea373cd
caddo springs farm,2,Caddo Springs Farm,LocalHarvest — Texas county-seat gap search | Texas Center for Local Food — Farms & Ranches,Frankston,Anderson,merged_exact_name_single_geography,txobs_61a130eb9bb70eeb25a6 | txobs_309649eb740544df6bfe
cd and j mini ranch,2,CD&J Mini Ranch,LocalHarvest — Texas county-seat gap search | Texas Department of Agriculture — Farm to School vendor resource list,San Benito,Cameron,merged_exact_name_single_geography,txobs_c322aaa453bfd90b5d1e | txobs_6ffaa6fac9e778ff1a5a
cedar ridge farms,2,Cedar Ridge Farms,FarmFinder curator verification — farm-owned or authoritative evidence | Texas Department of Agriculture — Farm to School vendor resource list,Pickton,Hopkins,merged_exact_name_single_geography,txobs_c67c2cd20c77971c51d6 | txobs_66880e504e62042693c4
central texas farmers co op,2,Central Texas Farmers Co-op,LocalHarvest — Texas county-seat gap search | Texas Center for Local Food — Farms & Ranches,San Marcos,Hays,merged_exact_name_single_geography,txobs_60df70a09a71311f4032 | txobs_ec9d759c276308b1097f
childress agricultural enterprises,2,Childress Agricultural Enterprises,LocalHarvest — Texas county-seat gap search | PickYourOwn — Abilene,Cross Plains,Callahan,merged_exact_name_single_geography,txobs_466eea73ed3372a136f8 | txobs_352c28cf24633a385117
circle j meat,2,Circle J Meat,EatWild Texas directory | Texas Center for Local Food — Farms & Ranches,Hempstead | Houston,Harris | Waller,merged_cross_county_shared_identity_preferred_geography,txobs_4018f9fd4fb728308dec | txobs_0955fdac6c0b35e0cba6
creek house honey farm,2,Creek House Honey Farm,Texas Center for Local Food — Farms & Ranches | Texas Department of Agriculture — GO TEXAN Farm And Ranch,Canyon,Randall,merged_exact_name_single_geography,txobs_d4804dbe880a5316eec3 | txobs_322d8e290ce5d6aed044
culinary life farm,2,Culinary Life Farm,Texas Center for Local Food — Farms & Ranches | Texas Department of Agriculture — GO TEXAN Farm And Ranch,Kingsbury,Guadalupe,merged_exact_name_single_geography,txobs_49970355acc41ed08a95 | txobs_670686f0aba18cb82e0c
dalusa organic ranch,2,Dalusa Organic Ranch,EatWild Texas directory | LocalHarvest — Texas county-seat gap search,Point  | Point,Rains,merged_exact_name_single_geography,txobs_02cdf5daaf536dec6904 | txobs_0e8d112ba07305530e5e
demases farm,3,Demases Farm,PickYourOwn — Dallas / Fort Worth | Texas Center for Local Food — Farms & Ranches | Texas Department of Agriculture — Farm to School vendor resource list,Boyd,Wise,merged_exact_name_single_geography,txobs_94bd661193b969a6dc4d | txobs_f33f87b3779c66f26460 | txobs_f28799cd995d3fed4c62
dos lobos ranch,4,"Dos Lobos Ranch | Dos Lobos Ranch LLC | Dos Lobos Ranch, LLC | Dos Lobos Ranch Llc",EatWild Texas directory | LocalHarvest — Texas county-seat gap search | Texas Center for Local Food — Farms & Ranches | Texas Department of Agriculture — GO TEXAN Farm And Ranch,Decatur,Wise,merged_exact_name_single_geography,txobs_57ac3721ddab8f4226bb | txobs_3403badcca520fb0ea22 | txobs_e30fadbdef48becfbc67 | txobs_9a3f888ca8366ac96dbc
dresden specialty meats,2,Dresden Specialty Meats,FarmFinder curator verification — farm-owned or authoritative evidence | Texas Department of Agriculture — Farm to School vendor resource list,Barry,Navarro,merged_exact_name_single_geography,txobs_5d27c8f40acf12da7e7d | txobs_2fbf50d1333a1a503f33
eat your greens organic farm,2,Eat Your Greens! Organic Farm,LocalHarvest — Texas county-seat gap search | Texas Center for Local Food — Farms & Ranches,Austin,Travis,merged_exact_name_single_geography,txobs_b4fca7f021049a77bd48 | txobs_7267043444c51eb30751
edelen farms,2,Edelen Farms,LocalHarvest — Texas county-seat gap search | Texas Center for Local Food — Farms & Ranches,Alice,Jim Wells,merged_exact_name_single_geography,txobs_5a40756f55b48280ccf9 | txobs_45f649098517d9a82dbc
elzner farms,2,Elzner Farms,Texas Center for Local Food — Farms & Ranches | Texas Department of Agriculture — GO TEXAN Farm And Ranch,Jacksonville,Cherokee,merged_exact_name_single_geography,txobs_7b2b2582c7427124e1d9 | txobs_fe4f9ae89624d791dfab
farmer ranch,2,Farmer Ranch,LocalHarvest — Texas county-seat gap search | Texas Center for Local Food — Farms & Ranches,Kemp,Kaufman,merged_exact_name_single_geography,txobs_1644121e68a3f9b40df4 | txobs_3f8bdad426899976a741
feathered fork farms,3,Feathered Fork Farms | Feathered Fork Farms Llc,Texas Center for Local Food — Farms & Ranches | Texas Department of Agriculture — Farm to School vendor resource list | Texas Department of Agriculture — GO TEXAN Farm And Ranch,Lott,Falls,merged_exact_name_single_geography,txobs_af33c41f033549846f15 | txobs_c348dcf960160fad936d | txobs_0799518dfab5d9dc4bb6
files family farm,2,Files Family Farm,LocalHarvest — Texas county-seat gap search | PickYourOwn — Abilene,Carbon,Eastland,merged_exact_name_single_geography,txobs_bbacd11d16c53250f86b | txobs_0e00ecae294a63a89278
frydek heritage farm,2,Frydek Heritage Farm,Shop Texas Farms — member business directory | Texas Center for Local Food — Farms & Ranches,Sealy,Austin,merged_exact_name_single_geography,txobs_9adf271500db9bfd730d | txobs_caa85e85d3da0c4a9a92
gather and deliver,2,Gather & Deliver,LocalHarvest — Texas county-seat gap search | Texas Center for Local Food — Farms & Ranches,Dripping Springs | Cedar Park,Travis,merged_exact_name_single_geography,txobs_0dfa633cee9be558f71a | txobs_0501a3da136693e23c10
gold ring wagyu,2,Gold Ring Wagyu,LocalHarvest — Texas county-seat gap search | Shop Texas Farms — member business directory,Waller,Waller,merged_exact_name_single_geography,txobs_7246166c577bdd43b653 | txobs_0830df06b801aed955a3
good earth organic farm,2,Good Earth Organic Farm,EatWild Texas directory | LocalHarvest — Texas county-seat gap search,Celeste  | Celeste,Hunt,merged_exact_name_single_geography,txobs_1111fda1f36d69d25c4e | txobs_a79760bb643810837e61
green gate farms,2,Green Gate Farms,LocalHarvest — Texas county-seat gap search | Texas Center for Local Food — Farms & Ranches,Austin,Travis,merged_exact_name_single_geography,txobs_fd9d54238956bcfcb532 | txobs_b5b566894774d57943cc
greener pastures chicken,2,Greener Pastures Chicken,Texas Center for Local Food — Farms & Ranches | Texas Department of Agriculture — Farm to School vendor resource list,Elgin,Bastrop,merged_exact_name_single_geography,txobs_9eb656eec0bafa8c06e5 | txobs_a36b20d5cde6758c54b1
hambones mercantile,2,Hambone's Mercantile | Hambone'S Mercantile,LocalHarvest — Texas county-seat gap search | Texas Department of Agriculture — GO TEXAN Farm And Ranch,Eustace,Henderson,merged_exact_name_single_geography,txobs_0d16b470dad8959a2d25 | txobs_982414bf398222b42e2b
happy life ranch texas edition,3,Happy Life Ranch- Texas Edition | Happy Life Ranch-Texas Edition | Happy Life Ranch Texas Edition,LocalHarvest — Texas county-seat gap search | Shop Texas Farms — member business directory | Texas Center for Local Food — Farms & Ranches,Kerens,Navarro,merged_exact_name_single_geography,txobs_ce3c59e7d59744bb0ed8 | txobs_9cc7746779d8e3145a81 | txobs_f3b1deda484cbe846d81
hawkins organic,2,Hawkins Organic,LocalHarvest — Texas county-seat gap search | PickYourOwn — Northeast,Hawkins,Wood,merged_exact_name_single_geography,txobs_a117ba0380767bd55409 | txobs_5c296c00f2bb61c90ebc
headlong farm,2,Headlong Farm,LocalHarvest — Texas county-seat gap search | Texas Center for Local Food — Farms & Ranches,Elgin,Bastrop,merged_exact_name_single_geography,txobs_e392a120bdf75a4972ff | txobs_415e3a20a316eeece601
hill brothers cattle,2,Hill Brothers’ Cattle | Hill Brothers' Cattle,Shop Texas Farms — member business directory | Texas Center for Local Food — Farms & Ranches,Yantis,Wood,merged_exact_name_single_geography,txobs_862a678c58f48fe115fe | txobs_f50fff58424f60b19fee
jmz organic farms,2,JMZ Organic Farms | Jmz Organic Farms Llc,Texas Center for Local Food — Farms & Ranches | Texas Department of Agriculture — GO TEXAN Farm And Ranch,Bridgeport,Wise,merged_exact_name_single_geography,txobs_904bcb5394697fe18a84 | txobs_e8af24e60cbee885c376
lavande,2,Lavande,FarmFinder curator verification — farm-owned or authoritative evidence | PickYourOwn — Houston / Southeast,Bellville | Texas,Washington,merged_exact_name_single_geography,txobs_19199883d9bb4a452da5 | txobs_76a74493b01dfc880dcb
lightsey farms,2,Lightsey Farms,Texas Center for Local Food — Farms & Ranches | Texas Department of Agriculture — Farm to School vendor resource list,Mexia,Limestone,merged_exact_name_single_geography,txobs_e64ec410bf331269477b | txobs_c92aeeb3f36629a7df98
mars hill farm,2,Mars Hill Farm,LocalHarvest — Texas county-seat gap search | PickYourOwn — Dallas / Fort Worth,Ferris,Dallas,merged_exact_name_single_geography,txobs_4f42b75b264265c4a252 | txobs_6c46cc98adc31eae4aaa
mcclendon farms,2,McClendon Farms,LocalHarvest — Texas county-seat gap search | Texas Department of Agriculture — GO TEXAN Farm And Ranch,Lavon,Collin,merged_exact_name_single_geography,txobs_26826118340a5c825a24 | txobs_92645a4ed47ec22612a7
mcnabb microfarm,3,McNabb Microfarm LLC | McNabb MicroFarm LLC | McNabb Microfarm Llc,Texas Center for Local Food — Farms & Ranches | Texas Department of Agriculture — Farm to School vendor resource list | Texas Department of Agriculture — GO TEXAN Farm And Ranch,Corpus Christi,Nueces,merged_exact_name_single_geography,txobs_7a92f2a7f09235b81ba2 | txobs_b269ab2f4f114eb2f570 | txobs_66b51426733effbffced
moonbow farms,2,Moonbow Farms,LocalHarvest — Texas county-seat gap search,Bay City  | Bay City,Matagorda,merged_exact_name_single_geography,txobs_e1065666914634f31a69 | txobs_161e0dae6ee7470fa525
munkebo farm,2,Munkebo Farm,LocalHarvest — Texas county-seat gap search | Texas Center for Local Food — Farms & Ranches,Manor,Travis,merged_exact_name_single_geography,txobs_d395321da257e7e5ce50 | txobs_48f1162fefcec49b5140
our family farms tx,2,Our Family Farms Tx | Our Family Farms TX,LocalHarvest — Texas county-seat gap search | Texas Center for Local Food — Farms & Ranches,Los Fresnos,Cameron,merged_exact_name_single_geography,txobs_603520f0468275739577 | txobs_1b4853f4a6abadfcb19d
p o p acres,2,P.O.P. Acres,LocalHarvest — Texas county-seat gap search | Texas Center for Local Food — Farms & Ranches,Purdon,Navarro,merged_exact_name_single_geography,txobs_471f3f82dc426634145c | txobs_8e5ee03431bb1aeca552
panola orchard and gardens,2,Panola Orchard and Gardens,LocalHarvest — Texas county-seat gap search | PickYourOwn — Northeast,Deberry | De Berry,Panola,merged_exact_name_single_geography,txobs_26f9fe5c61d696a30c01 | txobs_bb62213c140a6d07ec20
parish custom beef,2,"Parish Custom Beef | Parish Custom Beef, LLC",EatWild Texas directory | LocalHarvest — Texas county-seat gap search,Mineral Wells,Palo Pinto,merged_exact_name_single_geography,txobs_3ad8f36f1bb5de22447b | txobs_c60204828d9329da8f3b
pastured steps family farm,2,Pastured Steps Family Farm,LocalHarvest — Texas county-seat gap search | Texas Center for Local Food — Farms & Ranches,Midlothian,Ellis,merged_exact_name_single_geography,txobs_902a38d2e1f9928b5f02 | txobs_25c379ad77fb1e7a2b27
pure pastures,2,Pure Pastures,Shop Texas Farms — member business directory | Texas Center for Local Food — Farms & Ranches,Canyon Lake,Comal,merged_exact_name_single_geography,txobs_c986afe2bbc988171798 | txobs_93afb560a694adff1e8a
qf seasoning company,2,Qf Seasoning Company,FarmFinder curator verification — farm-owned or authoritative evidence | Texas Department of Agriculture — GO TEXAN Farm And Ranch,LaRue | Larue,Henderson,merged_exact_name_single_geography,txobs_1fa37fc6f69fc8adfde1 | txobs_736ca88e9a69dc700270
raised wild texas,2,Raised Wild Texas,EatWild Texas directory | Texas Center for Local Food — Farms & Ranches,Italy,Ellis,merged_exact_name_single_geography,txobs_030953052eb42d3df3c9 | txobs_dfc91b3954be51ba4bd2
rancho seco,2,Rancho Seco,Texas Center for Local Food — Farms & Ranches | Texas Department of Agriculture — GO TEXAN Farm And Ranch,Atascosa,Bexar,merged_exact_name_single_geography,txobs_4be4be1e0ab133ef51a1 | txobs_e9e002c834ea2a5da19c
reeves family farm,2,Reeves Family Farm,Texas Center for Local Food — Farms & Ranches | Texas Department of Agriculture — Farm to School vendor resource list,Princeton,Collin,merged_exact_name_single_geography,txobs_94756f2dd71bd9fb03e9 | txobs_0b713066dbeabd046f94
sanchez family farm,2,Sanchez Family Farm,PickYourOwn — San Antonio | Texas Center for Local Food — Farms & Ranches,Poteet,Atascosa,merged_exact_name_single_geography,txobs_8ff68ec635df29358a55 | txobs_4e4679e79b71a8143271
sk prime pastures,2,SK Prime Pastures,EatWild Texas directory | Texas Center for Local Food — Farms & Ranches,Grapeland  | Grapeland,Houston,merged_exact_name_single_geography,txobs_2d3cf4aee64dbcceda51 | txobs_272ec602f54a3fe86e25
south tex organics,2,South Tex Organics,FarmFinder curator verification — farm-owned or authoritative evidence | Texas Center for Local Food — Farms & Ranches,"Mission | 6700 N Doffing Rd Mission, Tx 78574",Hidalgo,merged_exact_name_single_geography,txobs_9a168232d172c75cfacc | txobs_130fb1aa067a34efd675
sow sweet farm,3,Sow Sweet Farm LLC | Sow Sweet Farm,LocalHarvest — Texas county-seat gap search | Shop Texas Farms — member business directory | Texas Center for Local Food — Farms & Ranches,Orange,Orange,merged_exact_name_single_geography,txobs_738ba9dd63f18f29eb25 | txobs_e62757e5dccfc10181e2 | txobs_b0056b2453f2c71920ac
sussex farm and ranch,2,"Sussex Farm and Ranch, LLC | Sussex Farm And Ranch Llc",LocalHarvest — Texas county-seat gap search | Texas Department of Agriculture — GO TEXAN Farm And Ranch,Comfort,Kerr,merged_exact_name_single_geography,txobs_0986cd89603a13377b81 | txobs_e9385684f5307df0a010
talise microgreens,2,Talise Microgreens,FarmFinder curator verification — farm-owned or authoritative evidence | Texas Center for Local Food — Farms & Ranches,Dallas,Collin,merged_exact_name_single_geography,txobs_b0edf3543e05cc412f7d | txobs_1451a75c8b79ed5bf526
terra preta farm,3,Terra Preta Farm | Terra Preta Farm Llc,LocalHarvest — Texas county-seat gap search | Texas Center for Local Food — Farms & Ranches | Texas Department of Agriculture — GO TEXAN Farm And Ranch,Edinburg,Hidalgo,merged_exact_name_single_geography,txobs_0dff144df8e15982db2f | txobs_e3d3b251e77789f087ee | txobs_36c4d2787a8426c6d877
texas tribal buffalo project,2,Texas Tribal Buffalo Project,Texas Center for Local Food — Farms & Ranches | Texas Department of Agriculture — Farm to School vendor resource list,Waelder,Gonzales,merged_exact_name_single_geography,txobs_c3798d9af4693d684e2d | txobs_b379da1316650a008aa3
the blueberry farm,2,The Blueberry Farm,PickYourOwn — Houston / Southeast | PickYourOwn — Northeast,Warren | Quitman,Tyler | Wood,split_county_conflict_no_merge,txobs_eed5bc3bf2e10e4be762 | txobs_b7706d4a347982eb944a
the farm at bald hill,2,The Farm at Bald Hill,LocalHarvest — Texas county-seat gap search | Texas Center for Local Food — Farms & Ranches,Colmesneil,Taylor | Tyler,merged_cross_county_shared_identity_preferred_geography,txobs_51d5e49fdc4dd98e9de8 | txobs_ee93965664af0140a7e4
the rowdy roost,2,The Rowdy Roost,EatWild Texas directory | LocalHarvest — Texas county-seat gap search,Kingsbury  | Kingsbury,Guadalupe,merged_exact_name_single_geography,txobs_5ee494f296bf5be54604 | txobs_4dcc444f1cda434f4b41
triple j organics,2,"Triple J Organics, LLC | Triple J Organics",LocalHarvest — Texas county-seat gap search | Texas Center for Local Food — Farms & Ranches,Mission,Hidalgo,merged_exact_name_single_geography,txobs_f8472fad47b07c4a8a04 | txobs_4012d6adde5bd1168a0b
trueharvest farms,2,TrueHarvest Farms,Texas Center for Local Food — Farms & Ranches | Texas Department of Agriculture — Farm to School vendor resource list,Belton,Bell,merged_exact_name_single_geography,txobs_e0a8fcbb535799859bc3 | txobs_64e728d3e2cd95f511e8
two hives honey,2,Two Hives Honey | Two Hives Honey Llc,Texas Center for Local Food — Farms & Ranches | Texas Department of Agriculture — GO TEXAN Farm And Ranch,Manor,Travis,merged_exact_name_single_geography,txobs_ce66a60c84d9657e1f59 | txobs_bf9b1d3b60b3093273ef
us citrus,2,US Citrus,Texas Center for Local Food — Farms & Ranches | Texas Department of Agriculture — Farm to School vendor resource list,Hargill,Hidalgo,merged_exact_name_single_geography,txobs_165623b7c50821e41963 | txobs_5307dbfeb356d9e241e8
watterson ranch,2,Watterson Ranch,EatWild Texas directory | Texas Center for Local Food — Farms & Ranches,Bastrop  | Bastrop,Bastrop,merged_exact_name_single_geography,txobs_ecf959f759584d19c991 | txobs_0951de52ac6239c980e5
weise farms,3,Weise Farms,Texas Center for Local Food — Farms & Ranches | Texas Department of Agriculture — Farm to School vendor resource list | Texas Department of Agriculture — GO TEXAN Farm And Ranch,La Grange | Giddings,Fayette | Lee,merged_cross_county_shared_identity_preferred_geography,txobs_01d86f3cffe1ade90825 | txobs_91bed2ce06c3e82da096 | txobs_53b61b73262ca9018b68
wimberley bees and berries farm,2,Wimberley Bees and Berries Farm,Shop Texas Farms — member business directory | Texas Center for Local Food — Farms & Ranches,Wimberley,Hays,merged_exact_name_single_geography,txobs_2709e0f70104931c05f8 | txobs_ad93bce88c20eea3c846
wylie urban farm and market,2,Wylie Urban Farm And Market,FarmFinder curator verification — farm-owned or authoritative evidence | Texas Department of Agriculture — GO TEXAN Farm And Ranch,Wylie,Collin,merged_exact_name_single_geography,txobs_71ae5aaddc494dea7d0c | txobs_96e414b76cbcc7f63715
