county,county_fips,pass_1_observations,pass_2_observations,pass_3_observations,candidate_entities,promotion_eligible_entities,status,coverage_note
Briscoe,48045,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Brooks,48047,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Brown,48049,1,1,4,5,2,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Burleson,48051,0,2,1,3,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Burnet,48053,1,0,2,3,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Caldwell,48055,1,5,2,6,6,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Calhoun,48057,0,0,3,2,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Callahan,48059,0,0,3,2,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Cameron,48061,3,3,9,13,4,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Camp,48063,2,0,2,4,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Carson,48065,0,0,1,1,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Cass,48067,0,0,4,4,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Castro,48069,0,1,0,1,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Chambers,48071,1,2,2,5,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Cherokee,48073,2,3,3,7,4,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Childress,48075,0,0,1,1,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Clay,48077,1,0,3,4,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Cochran,48079,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Coke,48081,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Coleman,48083,0,0,1,1,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Collin,48085,4,6,6,11,7,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Collingsworth,48087,0,0,2,2,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Colorado,48089,0,1,0,1,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Comal,48091,2,4,0,5,5,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Comanche,48093,2,4,2,7,3,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Concho,48095,0,2,1,1,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Cooke,48097,0,0,1,1,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Coryell,48099,0,2,0,2,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Cottle,48101,0,0,1,1,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Crane,48103,0,0,1,1,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Crockett,48105,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Crosby,48107,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Culberson,48109,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Dallam,48111,0,2,1,3,2,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Dallas,48113,2,6,5,8,2,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Dawson,48115,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
DeWitt,48123,0,1,2,2,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Deaf Smith,48117,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Delta,48119,0,1,0,1,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Denton,48121,3,1,4,7,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Dickens,48125,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Dimmit,48127,1,0,0,1,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Donley,48129,0,0,1,1,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Duval,48131,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Eastland,48133,0,1,4,4,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Ector,48135,0,0,1,1,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Edwards,48137,0,0,1,1,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
El Paso,48141,3,3,2,6,3,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Ellis,48139,1,7,5,10,7,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Erath,48143,3,0,2,4,2,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Falls,48145,2,1,0,1,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Fannin,48147,0,0,3,3,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Fayette,48149,2,3,0,4,3,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Fisher,48151,1,0,0,1,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Floyd,48153,1,0,0,1,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Foard,48155,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Fort Bend,48157,1,3,5,8,3,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Franklin,48159,0,1,0,1,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Freestone,48161,0,1,0,1,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Frio,48163,0,0,1,1,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Gaines,48165,1,0,0,1,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Galveston,48167,0,0,6,6,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Garza,48169,1,0,0,1,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Gillespie,48171,2,1,3,6,2,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Glasscock,48173,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Goliad,48175,0,0,2,2,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Gonzales,48177,1,4,1,3,2,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Gray,48179,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Grayson,48181,3,2,3,8,2,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Gregg,48183,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Grimes,48185,2,3,1,6,3,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Guadalupe,48187,2,4,2,6,4,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Hale,48189,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Hall,48191,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Hamilton,48193,0,0,1,1,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Hansford,48195,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Hardeman,48197,0,0,1,1,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Hardin,48199,0,0,4,4,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Harris,48201,5,10,11,25,12,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Harrison,48203,1,0,1,2,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Hartley,48205,1,0,0,1,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Haskell,48207,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Hays,48209,1,8,2,9,7,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Hemphill,48211,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Henderson,48213,2,1,4,5,2,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Hidalgo,48215,14,13,8,29,10,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Hill,48217,5,5,3,11,6,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Hockley,48219,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Hood,48221,0,2,1,3,2,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Hopkins,48223,0,0,2,2,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Houston,48225,0,4,1,4,3,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Howard,48227,1,0,0,1,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Hudspeth,48229,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Hunt,48231,1,3,4,7,4,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Hutchinson,48233,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Irion,48235,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Jack,48237,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Jackson,48239,0,0,1,1,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Jasper,48241,0,1,3,4,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Jeff Davis,48243,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Jefferson,48245,2,1,4,7,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Jim Hogg,48247,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Jim Wells,48249,0,3,3,5,3,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Johnson,48251,1,2,2,5,2,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Jones,48253,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Karnes,48255,0,0,1,1,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Kaufman,48257,2,2,2,5,2,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Kendall,48259,0,0,1,1,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Kenedy,48261,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Kent,48263,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Kerr,48265,1,1,5,5,2,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Kimble,48267,0,0,1,1,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
King,48269,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Kinney,48271,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Kleberg,48273,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Knox,48275,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
La Salle,48283,0,1,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Lamar,48277,0,2,1,3,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Lamb,48279,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Lampasas,48281,0,1,1,2,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Lavaca,48285,0,0,1,1,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Lee,48287,3,3,0,5,3,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Leon,48289,0,0,1,1,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Liberty,48291,0,0,2,2,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Limestone,48293,1,5,1,5,2,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Lipscomb,48295,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Live Oak,48297,0,1,1,2,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Llano,48299,0,1,1,2,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Loving,48301,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Lubbock,48303,5,6,9,17,3,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Lynn,48305,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Madison,48313,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Marion,48315,1,0,2,3,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Martin,48317,1,0,1,2,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Mason,48319,1,1,2,3,2,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Matagorda,48321,1,0,2,2,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Maverick,48323,0,0,1,1,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
McCulloch,48307,0,1,2,3,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
McLennan,48309,3,2,3,6,2,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
McMullen,48311,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Medina,48325,1,4,7,12,3,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Menard,48327,0,1,0,1,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Midland,48329,0,1,1,2,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Milam,48331,2,3,1,6,3,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Mills,48333,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Mitchell,48335,0,0,1,1,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Montague,48337,2,0,1,3,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Montgomery,48339,1,2,11,14,3,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Moore,48341,0,0,2,2,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Morris,48343,0,1,1,2,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Motley,48345,0,1,0,1,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Nacogdoches,48347,3,1,7,9,3,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Navarro,48349,2,5,3,6,5,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Newton,48351,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Nolan,48353,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Nueces,48355,4,1,1,4,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Ochiltree,48357,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Oldham,48359,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Orange,48361,0,4,6,8,2,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Palo Pinto,48363,0,0,3,3,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Panola,48365,0,0,5,3,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Parker,48367,1,6,1,8,4,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
